State,Visits,Value
000000000000000000000002000000122010021121,1,1.0
000000000000000020000002000000122010121121,1,1.0
000000000100000020000002200000122010121121,1,1.0
000000000000000000000000000000000001022001,1,1.0
000000000000000000000000000000010001022201,1,1.0
000000000000000000000000000000010001222211,1,1.0
000000000000000000000000000000010000021020,1,-1.0
000000000000000000000000000000010100021022,1,-1.0
000000000000000000000000000000110120021022,1,-1.0
000000000000000000000000000200110121021022,1,-1.0
000000000000000000001000200200110121021022,1,-1.0
000000000000000000001000200202110121121022,1,-1.0
000000000000000000001010200202110121121222,1,-1.0
000000000000000000000000000000200000011002,1,-1.0
000000000000000000000000000000200000011212,1,-1.0
000000000000000000000000000000200120011212,1,-1.0
000000000000000000000000001000200122011212,1,-1.0
000000000000000000000000000000000000100200,2,0.0
000000000000000000000000000000000000101220,1,-1.0
000000000000000000000000000000020000101221,1,-1.0
000000000000000000000000000002020000111221,1,-1.0
000000000000000000000000000000000002001000,5,-0.6
000000000000000000000000000000000002001210,1,-1.0
000000000000000000000000000010002002001210,1,-1.0
000000000000000000000000020010012002001210,1,-1.0
000000000000000000100000220010012002001210,1,-1.0
000000000000000000100000220010012202001211,1,-1.0
000000000000000002100000221010012202001211,1,-1.0
000000000010000002100000221010012222001211,1,-1.0
000000000011000002100000221210012222001211,1,-1.0
000000000011200002110000221210012222001211,1,-1.0
000000000011200002111000221210012222021211,1,-1.0
000000000011210002111000221210212222021211,1,-1.0
000000200011210002111001221210212222021211,1,-1.0
000001200011210002111001221210212222221211,1,-1.0
000101200011210002111001221212212222221211,1,-1.0
000101200011210022111011221212212222221211,1,-1.0
002101200111210022111011221212212222221211,1,-1.0
002101200111210222111111221212212222221211,1,-1.0
000000000000000000000000000010022001001200,1,1.0
000000000000000000000000000010022001211200,1,1.0
000000000000000000000000000010222001211201,1,1.0
000000000000000000000100000012222001211201,1,1.0
000000000000000000000000200000010000001200,4,-0.5
000000000000000000000000200000012000101200,1,-1.0
000000000000000000000000200000012001101202,1,-1.0
000000000000000000000000000000000020021001,1,-1.0
000000000000000000000000000000010020021021,1,-1.0
000000000000000000000000200000010120021021,1,-1.0
000000000000000000000000202000110120021021,1,-1.0
000000000000000002010000202000110120021021,1,-1.0
000000000000000002010000202020110121021021,1,-1.0
000000000020000002010100202020110121021021,1,-1.0
000100000020002002010100202020110121021021,1,-1.0
000100000020002022010101202020110121021021,1,-1.0
000100020020102022010101202020110121021021,1,-1.0
000101020020102022010101202020110121021221,1,-1.0
000000000000000000000000000000020001001200,1,1.0
000000000000000000000000000000022001001210,1,1.0
000000000000000000000000000000022001211210,1,1.0
000000000000000000000000000002022101211210,1,1.0
000000000000000000000000010002222101211210,1,1.0
000000000000000000000000200000010000001002,2,-1.0
